organism,NOSC,eC_ratio
PCC6803,-0.15858300545995277,4.158583005459953
PCC6803,-0.15972687727968196,4.159726877279682
PCC6803,-0.1676035172546407,4.167603517254641
PCC6803,-0.15843704642644588,4.158437046426446
PCC6803,-0.16468034069004803,4.164680340690048
PCC6803,-0.2148710444563612,4.214871044456361
PCC6803,-0.18691476711992436,4.186914767119925
PCC6803,-0.1571543897250473,4.157154389725047
PCC6803,-0.19134106235434595,4.191341062354346
PCC6803,-0.16369340817398648,4.1636934081739865
PCC6803,-0.1729685103678047,4.172968510367805
PCC6803,-0.13177038638825755,4.131770386388258
PCC6803,-0.1615390572497206,4.161539057249721
PCC6803,-0.17425113327407998,4.17425113327408
PCC6803,-0.1740454301136709,4.1740454301136705
PCC6803,-0.18075847543979406,4.180758475439794
PCC6803,-0.18760833364663512,4.187608333646635
PCC6803,-0.1705169026837971,4.170516902683797
PCC6803,-0.1623449084653813,4.162344908465381
PCC6803,-0.1439959413166727,4.143995941316673
PCC6803,-0.16780806815817514,4.167808068158175
PCC6803,-0.16538724884261946,4.165387248842619
PCC6803,-0.19574920101961468,4.1957492010196145
PCC6803,-0.1640137624051264,4.164013762405126
PCC6803,-0.1603358838906287,4.160335883890629
PCC6803,-0.1986067875019987,4.198606787501999
PCC6803,-0.16924119132086654,4.169241191320866
PCC6803,-0.16898322926680914,4.168983229266809
PCC6803,-0.17988183308076264,4.1798818330807626
PCC6803,-0.17365980227519676,4.173659802275197
PCC6803,-0.1454079961618065,4.145407996161807
PCC6803,-0.17372136349863324,4.173721363498633
PCC6803,-0.16179735526238664,4.161797355262387
PCC6803,-0.16519528157052962,4.165195281570529
PCC6803,-0.17023891801607724,4.170238918016077
PCC6803,-0.16534439623298203,4.165344396232982
PCC6803,-0.1550356736600136,4.155035673660014
PCC6803,-0.1928978899370057,4.192897889937005
PCC6803,-0.13551353284853337,4.135513532848534
PCC6803,-0.16182541219660881,4.161825412196609
PCC6803,-0.18532234681893964,4.18532234681894
PCC6803,-0.1608525079173692,4.160852507917369
PCC6803,-0.13078075674887077,4.13078075674887
PCC6803,-0.16009008032620078,4.160090080326201
PCC6803,-0.1725446636996066,4.172544663699607
PCC6803,-0.25726491109006044,4.2572649110900604
PCC6803,-0.16558652113041672,4.165586521130416
PCC6803,-0.1593018389107055,4.1593018389107055
PCC6803,-0.12923797343028098,4.129237973430281
PCC6803,-0.16337529887116703,4.163375298871167
PCC6803,-0.1662923018460484,4.166292301846048
PCC6803,-0.15829512370491003,4.15829512370491
PCC6803,-0.16506115456845336,4.165061154568454
PCC6803,-0.16257860680712102,4.162578606807121
PCC6803,-0.17610699488695242,4.176106994886952
PCC6803,-0.17732171800398316,4.177321718003983
PCC6803,-0.1720148849421119,4.1720148849421115
PCC6803,-0.17209394310956772,4.172093943109568
PCC6803,-0.14556244882553138,4.145562448825531
PCC6803,-0.17537619558640397,4.175376195586404
PCC6803,-0.2198946517476031,4.2198946517476035
PCC6803,-0.15886779116876104,4.1588677911687615
PCC6803,-0.17069787721659777,4.170697877216598
PCC6803,-0.22248413625419383,4.222484136254193
PCC6803,-0.17129367134628037,4.17129367134628
PCC6803,-0.18524117185717556,4.185241171857175
PCC6803,-0.1698752766189655,4.169875276618965
PCC6803,-0.1813607143979747,4.181360714397974
PCC6803,-0.17496365764216096,4.174963657642161
PCC6803,-0.16685212749781148,4.166852127497812
PCC6803,-0.16778612923752717,4.167786129237527
PCC6803,-0.18102506311392294,4.181025063113923
PCC6803,-0.16439188004547375,4.164391880045474
PCC6803,-0.1247395854190936,4.124739585419094
PCC6803,-0.16339636525032625,4.1633963652503265
PCC6803,-0.15419584661615263,4.154195846616153
PCC6803,-0.17982264301322667,4.179822643013226
PCC6803,-0.18439584083172353,4.184395840831724
PCC6803,-0.1766121676365475,4.176612167636548
PCC6803,-0.1614997866757549,4.161499786675755
PCC6803,-0.17183389085777825,4.171833890857778
PCC6803,-0.13873227026736348,4.138732270267363
PCC6803,-0.1546654943852592,4.1546654943852594
PCC6803,-0.14904231115465646,4.149042311154656
PCC6803,-0.16601366458454525,4.166013664584545
PCC6803,-0.1663322803832107,4.166332280383211
PCC6803,-0.16683528065395106,4.1668352806539515
PCC6803,-0.1850518278983218,4.185051827898322
PCC6803,-0.1515116143782458,4.151511614378246
PCC6803,-0.15441693278761234,4.154416932787612
PCC6803,-0.18077061825589688,4.180770618255897
PCC6803,-0.16672197402381717,4.166721974023817
PCC6803,-0.16236663173590044,4.1623666317359005
PCC6803,-0.1619353438174673,4.1619353438174675
PCC6803,-0.17987879567380308,4.179878795673803
PCC6803,-0.16850204491761825,4.168502044917618
PCC6803,-0.1761776360039983,4.176177636003998
PCC6803,-0.15436724578861546,4.154367245788616
PCC6803,-0.17143270364442756,4.171432703644427
PCC6803,-0.18337597079148676,4.183375970791487
PCC6803,-0.16453663788131279,4.164536637881313
PCC6803,-0.1728950704172617,4.172895070417262
PCC6803,-0.17650815134485556,4.176508151344856
PCC6803,-0.16836602485836444,4.168366024858364
PCC6803,-0.15585416000935942,4.155854160009359
PCC6803,-0.1725511712173582,4.172551171217358
PCC6803,-0.155822851730413,4.155822851730413
PCC6803,-0.16068063432021268,4.1606806343202125
PCC6803,-0.14859968285016642,4.148599682850167
PCC6803,-0.15139442715129947,4.151394427151299
PCC6803,-0.20800564958176393,4.208005649581764
PCC6803,-0.15539152342497886,4.155391523424979
PCC6803,-0.1772351473634066,4.177235147363406
PCC6803,-0.13822982013288931,4.1382298201328895
PCC6803,-0.1673198466433218,4.167319846643322
PCC6803,-0.15772907204101028,4.15772907204101
PCC6803,-0.20763863545407152,4.207638635454072
PCC6803,-0.1800968127792,4.1800968127792
PCC6803,-0.15462728634491554,4.154627286344915
PCC6803,-0.17567046546934098,4.175670465469341
PCC6803,-0.14258280487036837,4.142582804870369
PCC6803,-0.16095838929494236,4.160958389294942
PCC6803,-0.16964432035924257,4.169644320359242
PCC6803,-0.21339882395782783,4.213398823957828
PCC6803,-0.16362750554831243,4.1636275055483125
PCC6803,-0.14061295412240402,4.140612954122404
PCC6803,-0.15154414260174487,4.151544142601745
PCC6803,-0.17436121886961634,4.174361218869616
PCC6803,-0.1531484386958276,4.153148438695828
PCC6803,-0.16689585775922774,4.166895857759227
PCC6803,-0.17064865910258553,4.170648659102586
PCC6803,-0.1624865040769763,4.162486504076976
PCC6803,-0.17444406771469206,4.174444067714692
PCC6803,-0.14244614134839706,4.1424461413483975
PCC6803,-0.16933673209545688,4.169336732095457
PCC6803,-0.13094813463787378,4.130948134637873
PCC6803,-0.1586835219958967,4.158683521995897
PCC6803,-0.14852752906686087,4.148527529066861
PCC6803,-0.1730925369121045,4.173092536912105
PCC6803,-0.1871745814945495,4.187174581494549
PCC6803,-0.16899995810510882,4.1689999581051085
PCC6803,-0.1605676837782209,4.160567683778221
PCC6803,-0.17039227273603494,4.170392272736035
PCC6803,-0.19035587209305546,4.190355872093056
PCC6803,-0.174007422038336,4.174007422038336
PCC6803,-0.175542268220841,4.175542268220841
PCC6803,-0.163319727274255,4.163319727274255
PCC6803,-0.16436332944911072,4.1643633294491105
PCC6803,-0.13157445493378947,4.13157445493379
PCC6803,-0.18454436321045137,4.184544363210452
PCC6803,-0.1645336954834572,4.164533695483457
PCC6803,-0.1544816579816958,4.154481657981695
PCC6803,-0.18550254988930964,4.18550254988931
PCC6803,-0.1613390829757883,4.161339082975788
PCC6803,-0.16255345070280727,4.1625534507028075
PCC6803,-0.16519828731549635,4.165198287315496
PCC6803,-0.16447690737718165,4.164476907377182
PCC6803,-0.16866482374074304,4.168664823740743
PCC6803,-0.16824786553750423,4.168247865537504
PCC6803,-0.16844349583900908,4.168443495839009
PCC6803,-0.15196474883446637,4.151964748834466
PCC6803,-0.16557182164955644,4.165571821649556
PCC6803,-0.172465575054117,4.172465575054117
PCC6803,-0.12365670909794808,4.123656709097948
PCC6803,-0.15274332994135173,4.152743329941352
PCC6803,-0.1840937597764464,4.184093759776446
PCC6803,-0.17711729191864622,4.177117291918647
PCC6803,-0.1656491133275266,4.165649113327526
PCC6803,-0.1447956460847204,4.14479564608472
PCC6803,-0.1731543131543991,4.173154313154399
PCC6803,-0.16131162428614731,4.161311624286148
PCC6803,-0.16973818940936025,4.16973818940936
PCC6803,-0.14827475595317582,4.148274755953175
PCC6803,-0.15698213874088843,4.156982138740888
PCC6803,-0.17106171078012464,4.171061710780124
PCC6803,-0.17311198610159306,4.173111986101593
PCC6803,-0.1736790085864942,4.173679008586494
PCC6803,-0.18993886429166576,4.1899388642916655
PCC6803,-0.16287766386978797,4.1628776638697875
PCC6803,-0.17907787462644614,4.179077874626446
PCC6803,-0.16823113358947794,4.168231133589478
PCC6803,-0.18205297504285664,4.182052975042857
PCC6803,-0.16585706160591795,4.165857061605918
PCC6803,-0.16120949279041358,4.161209492790413
PCC6803,-0.17416428883280904,4.174164288832809
PCC6803,-0.16891128898782323,4.1689112889878235
PCC6803,-0.1653632787984615,4.165363278798462
PCC6803,-0.18684106386887414,4.186841063868874
PCC6803,-0.11252103687205023,4.11252103687205
PCC6803,-0.15303476946858166,4.153034769468582
PCC6803,-0.15325731025326841,4.153257310253268
PCC6803,-0.17191199238926375,4.171911992389264
PCC6803,-0.10509791976526871,4.105097919765269
PCC6803,-0.16340555464506665,4.163405554645067
PCC6803,-0.18158683605487416,4.1815868360548745
PCC6803,-0.17353775555449671,4.173537755554497
PCC6803,-0.1724891903604781,4.172489190360478
PCC6803,-0.17501828109388007,4.17501828109388
PCC6803,-0.15255312746367947,4.15255312746368
PCC6803,-0.16227394704480183,4.162273947044802
PCC6803,-0.20337838145176865,4.203378381451769
PCC6803,-0.1700036170391381,4.170003617039138
PCC6803,-0.19167913870852332,4.1916791387085235
PCC6803,-0.15823000496128972,4.15823000496129
PCC6803,-0.16646312607091138,4.166463126070911
PCC6803,-0.16691461077691763,4.166914610776917
PCC6803,-0.1560210329941259,4.156021032994126
PCC6803,-0.20015825815136268,4.200158258151363
PCC6803,-0.1836885576093687,4.1836885576093685
PCC6803,-0.1461923631422577,4.146192363142258
PCC6803,-0.17073753978304398,4.170737539783044
PCC6803,-0.16585042037378533,4.165850420373785
PCC6803,-0.15891969832068428,4.158919698320684
PCC6803,-0.1485631492715646,4.148563149271564
PCC6803,-0.150637051718789,4.150637051718789
PCC6803,-0.20095684417117998,4.20095684417118
PCC6803,-0.15388920109657647,4.153889201096576
PCC6803,-0.14918800244217198,4.149188002442172
PCC6803,-0.15028674957129007,4.15028674957129
PCC6803,-0.15730674569083397,4.157306745690834
PCC6803,-0.15848547736275925,4.158485477362759
PCC6803,-0.15549414164517092,4.155494141645171
PCC6803,-0.1479865421431685,4.147986542143168
PCC6803,-0.17886542157645527,4.178865421576456
PCC6803,-0.16128129911848713,4.161281299118487
PCC6803,-0.14940233634303257,4.149402336343033
PCC6803,-0.14581794620659483,4.145817946206595
PCC6803,-0.15301200682715985,4.15301200682716
PCC6803,-0.18228438007663197,4.182284380076632
PCC6803,-0.15477088851724505,4.154770888517245
PCC6803,-0.1617535379123353,4.161753537912335
PCC6803,-0.14419158080708,4.14419158080708
PCC6803,-0.1570962615162545,4.157096261516254
PCC6803,-0.17068642899705067,4.170686428997051
PCC6803,-0.15290116949362906,4.152901169493629
PCC6803,-0.17641199631289364,4.176411996312893
PCC6803,-0.16216723740001635,4.162167237400016
PCC6803,-0.16188085811961356,4.161880858119614
PCC6803,-0.20763012839794948,4.207630128397949
PCC6803,-0.16007154722116756,4.160071547221167
PCC6803,-0.20104241704083756,4.201042417040838
PCC6803,-0.15565770259887374,4.155657702598874
PCC6803,-0.1619874543339025,4.161987454333903
PCC6803,-0.16582128718090558,4.165821287180906
PCC6803,-0.16102961324863946,4.1610296132486395
PCC6803,-0.1629042157609383,4.162904215760938
PCC6803,-0.14056938559006915,4.140569385590069
PCC6803,-0.17369621077184813,4.1736962107718485
PCC6803,-0.1700911396970421,4.170091139697042
PCC6803,-0.1461393244588791,4.146139324458879
PCC6803,-0.17663405216487255,4.176634052164872
PCC6803,-0.16416915642154908,4.164169156421549
PCC6803,-0.2667520567714969,4.266752056771497
PCC6803,-0.17733932058022253,4.177339320580223
PCC6803,-0.20091149695491892,4.200911496954919
PCC6803,-0.19764570660339334,4.197645706603393
PCC6803,-0.17663861734344982,4.17663861734345
PCC6803,-0.11228021489131708,4.112280214891317
PCC6803,-0.15640941613886405,4.156409416138864
PCC6803,-0.22980903821510087,4.229809038215101
PCC6803,-0.1636006487690825,4.163600648769083
PCC6803,-0.17506727254155643,4.175067272541557
PCC6803,-0.16682395128553187,4.166823951285532
PCC6803,-0.16686132790216807,4.1668613279021685
PCC6803,-0.14884438312443063,4.14884438312443
PCC6803,-0.157894077114649,4.157894077114649
PCC6803,-0.19265680860385057,4.192656808603851
PCC6803,-0.16989550000354986,4.16989550000355
PCC6803,-0.16341779592997338,4.163417795929973
PCC6803,-0.16038231278808474,4.160382312788085
PCC6803,-0.16332404704902564,4.163324047049025
PCC6803,-0.15070896803531747,4.1507089680353175
PCC6803,-0.16374773393114894,4.163747733931149
PCC6803,-0.15511044640390279,4.155110446403903
PCC6803,-0.16429985417875792,4.164299854178758
PCC6803,-0.13746025227106404,4.137460252271064
PCC6803,-0.17736606630951052,4.177366066309511
PCC6803,-0.17444315057421989,4.17444315057422
PCC6803,-0.19524058039072553,4.195240580390726
PCC6803,-0.16452573385307595,4.164525733853076
PCC6803,-0.15930633523927865,4.159306335239279
PCC6803,-0.16734524437935971,4.1673452443793595
PCC6803,-0.1561935646916502,4.15619356469165
PCC6803,-0.15846255665391734,4.158462556653918
PCC6803,-0.17540907253398264,4.1754090725339825
PCC6803,-0.19217506907591553,4.192175069075915
PCC6803,-0.1754354763565594,4.17543547635656
PCC6803,-0.15281230681713498,4.152812306817135
PCC6803,-0.16408157156062886,4.1640815715606285
PCC6803,-0.1802388716498091,4.180238871649809
PCC6803,-0.15502149504492876,4.155021495044929
PCC6803,-0.1692978857158646,4.1692978857158645
PCC6803,-0.09671854762328988,4.09671854762329
PCC6803,-0.16180124952854566,4.161801249528546
PCC6803,-0.15803000922567215,4.158030009225672
PCC6803,-0.16252436060804873,4.162524360608049
PCC6803,-0.17319278430853033,4.17319278430853
PCC6803,-0.15416771195172596,4.154167711951726
PCC6803,-0.13579554695969917,4.135795546959699
PCC6803,-0.17855672859485544,4.178556728594855
PCC6803,-0.1656657973762333,4.165665797376233
PCC6803,-0.14583753795937798,4.145837537959378
PCC6803,-0.16024460098561347,4.160244600985614
PCC6803,-0.18023170572858524,4.180231705728585
PCC6803,-0.18304265996628638,4.183042659966286
PCC6803,-0.16081541328979773,4.160815413289797
PCC6803,-0.16621173836859993,4.1662117383686
PCC6803,-0.18993569283305609,4.189935692833056
PCC6803,-0.15749731756972912,4.157497317569729
PCC6803,-0.15174719413652327,4.151747194136523
PCC6803,-0.1840343206548372,4.184034320654837
PCC6803,-0.18616833653900353,4.186168336539003
PCC6803,-0.17963810994503027,4.179638109945031
PCC6803,-0.16221412153665277,4.162214121536652
PCC6803,-0.15614493015994896,4.156144930159949
PCC6803,-0.17223187235685167,4.172231872356852
PCC6803,-0.1601102274485954,4.1601102274485955
PCC6803,-0.16889000136341095,4.168890001363411
PCC6803,-0.1950440436922592,4.195044043692259
PCC6803,-0.14858156548204288,4.148581565482043
PCC6803,-0.15913756223273526,4.159137562232735
PCC6803,-0.19228135390350995,4.1922813539035095
PCC6803,-0.15287692594499022,4.15287692594499
PCC6803,-0.1516143064539712,4.151614306453971
PCC6803,-0.17207032099735214,4.172070320997352
PCC6803,-0.15983576867015215,4.159835768670153
PCC6803,-0.1766132986488485,4.1766132986488484
PCC6803,-0.16296134719877975,4.16296134719878
PCC6803,-0.1557607580114452,4.1557607580114455
PCC6803,-0.16359305419380696,4.163593054193807
PCC6803,-0.1548397588450057,4.1548397588450054
PCC6803,-0.17544454501549314,4.175444545015493
PCC6803,-0.17098519705361054,4.170985197053611
PCC6803,-0.16884288786447152,4.168842887864471
PCC6803,-0.159380376551622,4.159380376551622
PCC6803,-0.14684027173603875,4.146840271736039
PCC6803,-0.1624053724962471,4.162405372496247
PCC6803,-0.16449021809278502,4.164490218092785
PCC6803,-0.17513026394775105,4.175130263947751
PCC6803,-0.15863041861163954,4.158630418611639
PCC6803,-0.18453553454154895,4.184535534541549
PCC6803,-0.17217201209370855,4.172172012093709
