organism,NOSC,eC_ratio
PCC6803,-0.162889333622479,4.162889333622479
PCC6803,-0.16648753785610973,4.16648753785611
PCC6803,-0.16637034952621324,4.166370349526213
PCC6803,-0.16047474697278405,4.160474746972784
PCC6803,-0.16745098138952294,4.167450981389523
PCC6803,-0.16716396057472946,4.1671639605747295
PCC6803,-0.16508847976298233,4.165088479762982
PCC6803,-0.16567899261033617,4.165678992610336
PCC6803,-0.16934438835190158,4.1693443883519015
PCC6803,-0.16771459369214303,4.167714593692143
PCC6803,-0.1663233965944401,4.16632339659444
PCC6803,-0.16334651774064432,4.163346517740644
PCC6803,-0.16617557336358432,4.166175573363584
PCC6803,-0.1658115333411705,4.16581153334117
PCC6803,-0.16521237440638295,4.165212374406383
PCC6803,-0.1695657311193048,4.169565731119305
PCC6803,-0.16535674683256205,4.165356746832562
PCC6803,-0.16316744748863554,4.163167447488636
PCC6803,-0.16324019539672577,4.1632401953967255
PCC6803,-0.167280401191292,4.167280401191292
PCC6803,-0.16551419007154816,4.165514190071548
PCC6803,-0.16479961516236094,4.1647996151623605
PCC6803,-0.16490614816572943,4.16490614816573
PCC6803,-0.16589534514761065,4.165895345147611
PCC6803,-0.16503548895405526,4.1650354889540555
PCC6803,-0.16924428635594183,4.169244286355942
PCC6803,-0.16418684244043735,4.164186842440437
PCC6803,-0.16512239405533502,4.165122394055335
PCC6803,-0.1637871824548657,4.163787182454866
PCC6803,-0.17034238597624476,4.1703423859762445
PCC6803,-0.16334172485003443,4.163341724850034
PCC6803,-0.1654777334798305,4.165477733479831
PCC6803,-0.16476248872170898,4.164762488721709
PCC6803,-0.16559020894411092,4.165590208944111
PCC6803,-0.16461962222744728,4.164619622227447
PCC6803,-0.16881786358726433,4.168817863587265
PCC6803,-0.16763710968335077,4.16763710968335
PCC6803,-0.16640728354971368,4.166407283549714
PCC6803,-0.16462905468394545,4.164629054683945
PCC6803,-0.16613286240839836,4.166132862408398
PCC6803,-0.1717177804128813,4.171717780412881
PCC6803,-0.1654141490687214,4.165414149068721
PCC6803,-0.16503141289404266,4.165031412894042
PCC6803,-0.17072654589842814,4.170726545898428
PCC6803,-0.16805808056961835,4.168058080569619
PCC6803,-0.16584260608222953,4.165842606082229
PCC6803,-0.16829489781767296,4.168294897817673
PCC6803,-0.1656587254107568,4.165658725410757
PCC6803,-0.16707081101082744,4.167070811010827
PCC6803,-0.16729502470828697,4.167295024708287
PCC6803,-0.16704453538876843,4.167044535388769
PCC6803,-0.1668127732465859,4.166812773246586
PCC6803,-0.16633183636705062,4.166331836367051
PCC6803,-0.165491025975023,4.165491025975023
PCC6803,-0.1669408055590463,4.1669408055590464
PCC6803,-0.16421321104829886,4.164213211048299
PCC6803,-0.164687408170923,4.164687408170923
PCC6803,-0.16871373579169968,4.1687137357917
PCC6803,-0.16682106484020742,4.1668210648402075
PCC6803,-0.1629371927830909,4.162937192783091
PCC6803,-0.1697718858007415,4.169771885800741
PCC6803,-0.16774758232741022,4.167747582327411
PCC6803,-0.1694853140764803,4.16948531407648
PCC6803,-0.1673474645984451,4.167347464598445
PCC6803,-0.16362087701805159,4.163620877018052
PCC6803,-0.17063865142803153,4.170638651428032
PCC6803,-0.16078030498692836,4.160780304986928
PCC6803,-0.16605036277103247,4.166050362771032
PCC6803,-0.1669503733888914,4.166950373388891
PCC6803,-0.1681358162742903,4.16813581627429
PCC6803,-0.16404743965185112,4.164047439651851
PCC6803,-0.16603960839730927,4.166039608397309
PCC6803,-0.16798490232923435,4.167984902329234
PCC6803,-0.16295809414009943,4.1629580941401
PCC6803,-0.16353394620921594,4.163533946209216
PCC6803,-0.16489561636568406,4.164895616365684
PCC6803,-0.16433456058696866,4.164334560586969
PCC6803,-0.16418361517580776,4.164183615175808
PCC6803,-0.16689288243083883,4.166892882430838
PCC6803,-0.16616343281748414,4.166163432817484
PCC6803,-0.16707056029919684,4.167070560299197
PCC6803,-0.1675090660255041,4.167509066025504
PCC6803,-0.16517816169649682,4.165178161696497
PCC6803,-0.16590809381079225,4.165908093810792
PCC6803,-0.16640918900914667,4.166409189009147
PCC6803,-0.16808531023206447,4.1680853102320645
PCC6803,-0.16732092014109168,4.1673209201410915
PCC6803,-0.16628719465593259,4.166287194655933
PCC6803,-0.16302846345483493,4.163028463454835
