letter_code,aa_freq
A,0.09553206865952912
R,0.055252990665890095
N,0.03892592174716485
D,0.05134522789438215
C,0.011575394054345805
E,0.05777862821212611
Q,0.04447653055312453
G,0.07373062508957513
H,0.02267356230007593
I,0.06008928544202088
L,0.10713643169267267
K,0.043915447174304824
M,0.02824094262007642
F,0.03895489072596261
P,0.044439938158853685
S,0.05767113805395548
T,0.05373135693746055
W,0.015289522072837161
Y,0.028295831211482693
V,0.07094197970951738
U,2.287024641928175e-06
