,postma_fit,kayser_fit,both_fit
slope,45.029831773793795,37.23337603606557,43.687747075470384
intercept,1.2808980567045989,2.227779559198302,1.3124964110361326
R,0.9509883215937678,0.9686184117409014,0.9562067421513738
P,1.296637566406495e-10,5.403285426438656e-08,4.263062624411307e-18
slope_stderr,3.451167283263557,2.8807235646348155,2.4018064323400057
int_stderr,1.2141354142520664,0.7682862452618645,0.77093916473069
